longitude,latitude
4.0941564,39.991252
4.1035758,39.9894702
4.1063176,39.9849509
4.1131996,39.9847724
3.8496727,39.9993436
3.8500757,39.9994438
3.8501004,39.9995303
3.8498602,40.0001404
3.8499705,40.0013967
3.8499126,40.0020635
3.846123,39.9956592
3.8462999,39.9957357
3.8463387,39.9959574
3.8460516,39.996083
3.845544,39.9963149
3.8450001,39.9992494
3.845069,39.9992809
3.8377662,39.995379
3.8365335,39.9929505
3.8366564,39.9928618
3.8370513,39.9929407
3.8373084,39.9929595
3.838369,39.9930274
3.8384939,39.9929959
3.8385699,39.993079
3.8380502,39.9954625
3.835538,39.9837327
3.8388449,39.9819582
3.8404597,39.9802611
3.8358867,40.0002843
3.8396769,39.9999788
3.8394027,40.0001306
3.8406829,39.9890876
3.8369687,39.9682623
3.8321552,39.975237
3.8388651,39.991729
3.8322338,39.9681968
3.8422304,39.9594661
3.8425341,39.9797964
3.8365776,39.966464
3.8350069,39.9665217
3.8363816,39.9672066
3.8367309,39.9673757
3.8355246,39.9659108
4.2646247,39.897338
4.2600831,39.8971976
4.3067909,39.8853439
4.2693327,39.8987832
4.2846197,39.8803112
4.2805189,39.8824878
4.2727791,39.8839199
3.9370481,39.9388427
3.9411132,39.941072
3.9420699,39.941061
3.9419688,39.9483103
3.8817671,39.9686658
3.8795643,39.9678844
3.8794144,39.9686001
3.8594252,39.9832857
3.8240785,39.9235768
3.8347616,39.9301097
3.8324899,39.9293259
3.8315463,39.9271642
3.8298707,39.9263709
4.0333564,39.971572
4.0497075,39.9428652
4.0495945,39.9456443
4.0475612,39.9458375
4.0468949,39.9461472
4.0392565,39.9577652
3.9837978,39.9986146
3.9930972,40.0121293
4.0013594,40.0200197
4.1542455,39.9681354
4.1635854,39.9248239
4.1152386,39.9181982
4.1303665,39.9274174
4.1317464,39.9330003
4.1659457,39.9333173
4.1585077,39.9161847
3.8339671,39.9754988
3.8343652,39.9759114
3.8332428,39.9706628
3.8349526,39.9708717
3.8333067,39.9698749
3.8316653,39.969055
3.8326032,39.9693674
3.8363599,39.9945847
4.0877702,40.0643026
4.072058,40.0355346
4.0913599,40.0759787
4.0927625,40.0753629
4.0760244,40.0526961
4.075678,40.047634
4.0818175,40.0313797
4.0822296,40.0264339
4.0847905,40.0187164
4.083319,40.0097631
4.0934087,39.9992759
4.0928183,39.9979988
4.0917027,39.9888919
4.090392,39.9877425
3.9634744,39.9371376
3.9658586,39.9394335
3.9730402,39.934852
3.9684857,39.9334899
3.9682273,39.9346196
4.1648835,39.91173
4.2518846,39.8905664
4.2520138,39.8908851
4.2489489,39.8885731
4.2502776,39.8889748
4.2551955,39.8872692
4.2599805,39.8871049
4.2582022,39.8876441
4.2552785,39.8904024
4.2537563,39.8915275
4.2551519,39.8904531
4.2557645,39.8917246
4.2563024,39.8939056
4.2555931,39.8912044
4.2568397,39.8914603
4.2539078,39.8919845
4.257289,39.893034
4.2584504,39.8912663
4.0297074,40.030372
4.0437303,40.033685
4.0518795,40.0343447
4.0603185,40.0349486
4.2890784,39.8779355
4.2798073,39.8120079
4.2794021,39.8138688
4.2798172,39.8141571
4.2686742,39.8269364
4.2683577,39.8367945
4.2670896,39.83765
4.258576,39.8422464
4.2580878,39.8464775
4.2589944,39.8469739
4.2594759,39.852669
4.2749062,39.8576603
4.2852879,39.8626489
4.2868534,39.8628203
4.2890166,39.8637615
4.2998525,39.8648245
4.2993573,39.8646072
4.2979356,39.8690935
4.2759236,39.8161591
4.2635873,39.8130235
4.2303258,39.8228877
4.2360192,39.8187008
4.2431375,39.8177658
4.243913,39.817574
4.2635767,39.8151334
4.2689278,39.8151234
4.2077355,39.8679282
4.1942493,39.8374029
4.2001154,39.8373871
4.227668,39.8253652
4.2341447,39.8249
4.2323889,39.8234691
4.2309289,39.822264
4.2301065,39.8231484
4.2318638,39.8214231
4.2369694,39.8183579
4.2414345,39.8177949
4.2482484,39.8158613
4.2064339,39.8715669
4.209184,39.871131
4.2096025,39.8298134
4.2066203,39.8722556
4.2089795,39.8720888
4.093888,40.0291619
4.1148089,40.0280463
4.0497671,40.0286667
4.1902802,40.0244843
4.1891673,40.0238247
4.1866738,40.0223028
4.1893943,40.0226013
4.1923239,40.0249119
4.1903665,40.0249904
4.1911055,40.0247253
4.1933124,40.0285104
4.1931924,40.0279212
4.1931446,40.0273434
4.1924997,40.0245021
4.1925403,40.0246196
4.2676733,39.8896674
4.273976,39.8908474
4.2550108,39.8958906
4.2737786,39.8908884
4.0922252,39.9912608
4.0913073,39.9883251
4.0940495,39.988877
4.0934176,39.9887423
4.0954919,39.9892304
4.0946877,39.9866331
4.0928311,39.9886049
4.0936096,39.9872704
4.0924804,39.9866437
4.0931956,39.9857185
4.0938464,39.9864926
4.0940554,39.9858453
4.0203765,39.9880013
4.0231754,39.988668
4.0234325,39.9871468
4.0236191,39.986049
3.9864195,40.0046553
3.9601832,39.9345843
3.9734156,39.9353052
3.9733179,39.9355469
3.9705572,39.9389296
3.9706818,39.9403923
3.9708598,39.9412947
3.9623262,39.9343246
4.0784639,39.9000842
4.0794824,39.8991108
4.1560318,39.9281204
4.1560408,39.9281673
4.1561301,39.9278856
4.1561561,39.927882
4.1563163,39.9282583
4.2484383,39.888463
4.2473108,39.8903234
4.2481553,39.8907804
4.2395229,39.8827609
4.2398976,39.8821841
4.2375591,39.8845527
4.237271,39.8851618
